row_id,ministry_or_category,scheme_name,scheme_url,status,pages_crawled,documents_found,elapsed_seconds,overview,scheme_type,target_beneficiaries,geographic_scope,eligibility,benefits,financial_support,fund_size_crores,grant_amount_per_entity,application_process,application_portal_url,deadlines,implementing_agency,contact_details,confidence,last_updated_date,evidence_json_path,report_markdown_path,pitch_md_path,howto_md_path,summary_md_path,error
row-4,State Level (Haryana),State Mini Cluster Development Scheme,https://haryanaindustries.gov.in,completed,30,2,170.5,"The State Mini Cluster Development Scheme is a component of the Haryana Enterprises & Employment Policy-2020, aimed at supporting the development of industrial clusters in the state. It focuses on fostering entrepreneurship, enhancing MSME competitiveness, and promoting balanced regional development through cluster-based interventions. The scheme provides financial and infrastructural support to MSMEs for technology upgradation, market access, and common facility creation.",subsidy,MSME; entrepreneurs; startups,Haryana only,"Micro, Small and Medium Enterprises (MSMEs) engaged in manufacturing or services, particularly those located in industrially backward districts (Category D blocks) or participating in cluster development initiatives under the Haryana Enterprise Promotion Policy 2015. Enterprises must be registered under the MSMED Act, 2006 and comply with the policy framework for cluster development, technology upgradation, and market linkage enhancement.","Financial assistance for setting up Common Facility Centres (CFCs), technology upgradation, market access enhancement, credit linkage support, infrastructure development, skill development, entrepreneurship promotion, and institutional strengthening. Includes subsidies for plant and machinery, testing labs, raw material banks, design centres, and training facilities within clusters.","The scheme provides financial support in the form of subsidies for cluster development interventions, including up to 70% grant for setting up Common Facility Centres (CFCs) in MSME clusters, with a maximum ceiling of INR 10 crore per CFC. Additional support includes interest subsidies, credit guarantee coverage, and infrastructure grants as per the Haryana Enterprise Promotion Policy 2015 guidelines, disbursed through nodal agencies like the Directorate of MSME and Haryana Enterprises Promotion Centre (HEPC).",,,"1. Identify and form a Special Purpose Vehicle (SPV) or consortium of MSMEs in a defined cluster. 2. Prepare a Detailed Project Report (DPR) outlining cluster interventions, technology needs, market linkages, and financial requirements. 3. Submit the DPR to the Directorate of MSME, Haryana or Haryana Enterprises Promotion Centre (HEPC) for appraisal. 4. Obtain approval from the State Level Steering Committee under HEEP 2020. 5. Execute the project upon sanction and submit utilization reports for fund release in stages. 6. Undergo monitoring and evaluation by the implementing agency for compliance and impact assessment.",,Rolling basis,"Directorate of Micro, Small and Medium Enterprises, Haryana",info-msme@hry.gov.in | 0172-2580707,medium,2020,runs\run_20260706_0046\artifacts\row-4-state-mini-cluster-development-scheme\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-4-state-mini-cluster-development-scheme\report.md,runs\run_20260706_0046\artifacts\row-4-state-mini-cluster-development-scheme\pitch.md,runs\run_20260706_0046\artifacts\row-4-state-mini-cluster-development-scheme\how_to_apply.md,runs\run_20260706_0046\artifacts\row-4-state-mini-cluster-development-scheme\summary.md,
row-5,State Level (Haryana),Critical Infrastructure Development Scheme,https://haryanaindustries.gov.in,completed,30,2,179.4,"The Critical Infrastructure Development Scheme under the Enterprises Promotion Policy 2015 aims to support the development of essential industrial infrastructure such as roads, water supply, drainage, and power supply in industrial areas to facilitate industrial growth and attract investment in Haryana. It is designed to improve the basic infrastructure in industrial estates and parks to make them investment-ready and support the establishment and expansion of industries.",subsidy,industries; MSME; entrepreneurs,Haryana only,"Industries and enterprises setting up or expanding in Haryana State Industrial and Infrastructure Development Corporation (HSIIDC) developed industrial estates, parks, and areas are eligible for the scheme. The scheme applies to units in industrially backward blocks (Category D) as per block categorization under HEEP 2020, where special incentives are provided to hasten industrial development.","The scheme provides financial assistance for the development of critical infrastructure including internal roads, water supply, sewerage/drainage, and power supply in industrial areas. It supports the creation of investment-ready industrial plots by ensuring basic infrastructure is in place, thereby reducing the initial setup cost for industries and promoting industrial dispersal across the state.","Under the Enterprises Promotion Policy 2015, the Critical Infrastructure Development Scheme offers capital subsidy for infrastructure development in industrial estates. The financial support is provided as a subsidy to cover a portion of the cost of developing internal infrastructure such as roads, water supply, drainage, and power supply in HSIIDC-developed areas, with specific quantum and rates defined in the scheme guidelines.",,,"1. Identify the industrial estate or area where the unit is to be set up or expanded. 2. Verify eligibility based on location in HSIIDC-developed area and block categorization (especially Category D for backward areas). 3. Submit application through the HSIIDC or Department of Industries & Commerce, Haryana. 4. Provide project details including land allotment, infrastructure requirements, and cost estimates. 5. Await verification and approval by the competent authority. 6. Upon approval, receive subsidy disbursement as per scheme guidelines after infrastructure development is completed and verified.",,As per scheme notifications and HSIIDC circulars; typically tied to industrial plot allotment schedules or annual budget cycles,Haryana State Industrial and Infrastructure Development Corporation Limited (HSIIDC),"0172-2590481-483, contactus[at]hsiidc[dot]org[dot]in",medium,2020,runs\run_20260706_0046\artifacts\row-5-critical-infrastructure-development-scheme\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-5-critical-infrastructure-development-scheme\report.md,runs\run_20260706_0046\artifacts\row-5-critical-infrastructure-development-scheme\pitch.md,runs\run_20260706_0046\artifacts\row-5-critical-infrastructure-development-scheme\how_to_apply.md,runs\run_20260706_0046\artifacts\row-5-critical-infrastructure-development-scheme\summary.md,
row-6,State Level (Haryana),Industrial Infrastructure Development Scheme,https://haryanaindustries.gov.in,completed,30,2,183.4,"The Industrial Infrastructure Development Scheme under the Haryana Enterprises & Employment Policy-2020 aims to develop robust industrial infrastructure by providing developed land and facilities for industrial ventures. It focuses on creating Industrial Model Townships (IMTs), Industrial Estates, and Theme Parks to support industrial growth and attract investment. The scheme is part of the state's strategy to enhance ease of doing business and promote balanced regional development through infrastructure-led geographical dispersal of industries.",subsidy,MSME; entrepreneurs; industrial units,Haryana only,"Eligibility is tied to the Haryana Enterprises & Employment Policy-2020 and applies to industrial units seeking to set up ventures in the state. Specific eligibility criteria for the Industrial Infrastructure Development Scheme are not detailed in the evidence, but beneficiaries are expected to comply with land allotment procedures, pollution control norms, and other clearances as advised by the Department of Industries & Commerce, Haryana.","Benefits include provision of developed land for industrial ventures, availability of world-class infrastructure leading to lower operating costs, support for attracting indigenous and foreign investments, facilitation of clearances from related government departments (Commercial Taxes, Labour, Town & Country Planning, Pollution Control Board), and promotion of ease of starting businesses through policy framework and advisory services.","The scheme provides developed land and infrastructure support, but specific financial support quantum, type (e.g., subsidy, grant), or mechanism is not detailed in the evidence. Financial aspects are implied through infrastructure development and land provision rather than direct monetary disbursement.",,,"1. Approach the Department of Industries & Commerce, Haryana for advice on land availability and procedure for allotment. 2. Obtain guidance on conversion of land use and required clearances from departments such as Commercial Taxes, Labour, Town & Country Planning, and Pollution Control Board. 3. Avail incentives and concessions available to the industry. 4. Facilitate coordination with related government departments for regulatory clearances and enforcement. 5. Proceed with setting up of industries on developed land provided under the scheme.",,,"Department of Industries & Commerce, Haryana","0172-2714010 (Department of Industries & Commerce, Haryana), ipcharyana@yahoo.com, help[dot]hryindustries[at]gmail[dot]com",medium,2020,runs\run_20260706_0046\artifacts\row-6-industrial-infrastructure-development-scheme\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-6-industrial-infrastructure-development-scheme\report.md,runs\run_20260706_0046\artifacts\row-6-industrial-infrastructure-development-scheme\pitch.md,runs\run_20260706_0046\artifacts\row-6-industrial-infrastructure-development-scheme\how_to_apply.md,runs\run_20260706_0046\artifacts\row-6-industrial-infrastructure-development-scheme\summary.md,
row-1,State Level (Haryana),Haryana State Start-ups Scheme,https://startupharyana.gov.in/,completed,30,4,206.6,"The Haryana State Start-ups Scheme is a flagship initiative of the Government of Haryana under the Department of Industries and Commerce, aimed at fostering innovation, entrepreneurship, and job creation by providing a comprehensive framework of fiscal and non-fiscal incentives to startups and incubators. It supports the creation of a vibrant startup ecosystem through financial assistance, regulatory simplifications, mentorship, incubation, and access to funding and networking opportunities. The scheme is aligned with the Haryana State Startup Policy 2022 and targets DPIIT-recognized startups operating within or through government-supported infrastructure in Haryana.",other,startups; incubators; women entrepreneurs,Haryana only,"Company Age: Period of existence and operations should not exceed 10 years from the Date of Incorporation. Company Type: Incorporated as a Private Limited Company, Registered Partnership Firm, or Limited Liability Partnership. Annual Turnover: Should not exceed ₹100 crores for any financial year since incorporation. Original Entity: Should not have been formed by splitting up or reconstructing an existing business. Innovative & Scalable: Must work towards development or improvement of a product, process, or service with a scalable business model and high potential for wealth and employment creation. Category 1 Startups: Must be DPIIT-registered and have a registered office in Haryana. Category 2 Startups: Must be DPIIT-registered, have a registered office outside Haryana, but operate through government-owned or supported operational incubators located in Haryana.","Fiscal benefits include: Seed Grant up to INR 10 Lakh per startup; Lease Rental Subsidy (30% for general startups, 45% for women-led startups, max INR 5 Lakh for 1 year); Patent Cost Reimbursement (100% of actual expenses, max INR 25 Lakh); Reimbursement for Cloud Storage (75% of expenses, max INR 2.5 Lakh per annum for 5 years); Reimbursement for Acceleration Programs (up to INR 2.5 Lakh per year); Reimbursement of Net SGST (50% for 7 years, capped at 100% of Fixed Capital Investment). Non-monetary benefits: Relaxation in Public Procurement Norms, Subsidized Incubation Space, Access to Events/Workshops/Startup-Specific Programs, Mentorship, Networking with investors and industry experts, Access to funding and investment opportunities, Guidance from industry experts, and Simplified regulatory framework.","Financial support is provided through multiple schemes: Seed Grant of up to INR 10 Lakh per startup for idea validation, prototype development, proof of concept, and initial activities; Lease Rental Subsidy of 30% (45% for women-led startups) of lease rental, max INR 5 Lakh for 1 year; Patent Cost Reimbursement of 100% of actual expenses (filing, consultancy, search, maintenance, publishing fees) up to INR 25 Lakh for domestic and international patents; Reimbursement for Cloud Storage at 75% of expenses, max INR 2.5 Lakh per annum for 5 years on Haryana-based Data Centres; Reimbursement for Acceleration Programs up to INR 2.5 Lakh per year; and Reimbursement of Net SGST at 50% for 7 years, capped at 100% of Fixed Capital Investment. All financial assistance is disbursed upon submission of required documents and approval by the Evaluation & Approval Committee.",,INR 10 Lakh,"1. Register on the Startup Haryana portal at https://startupharyana.gov.in. 2. Log in using email/password, Gmail, or Startup India login details. 3. Select 'Startup' as the registration type. 4. Ensure DPIIT recognition is obtained prior to application (if not, get recognized via DPIIT first). 5. Complete the 4-step application form: (a) Details of the entity (Startup Details, Authorized Representative Details, Incubation Details, Upload Documents), (b) Details of Directors/Designated Partners, (c) Details of Business, (d) Preview and Final Submit. 6. Upload all required documents (file size ≤ 2 MB). 7. Accept terms and conditions and submit the application. 8. Application is processed within 30 days if no deficiencies; if deficiencies are found, applicant has 10 days to resubmit. 9. Upon approval, download the registration certificate from 'My Applications' section.",https://startupharyana.gov.in,Rolling basis — no fixed deadline. Applications are accepted year-round.,"Department of Industries and Commerce, Government of Haryana",Helpline Number: +91 172-467-1337 | Mon - Fri (10:00 AM - 06:00 PM),high,2022,runs\run_20260706_0046\artifacts\row-1-haryana-state-start-ups-scheme\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-1-haryana-state-start-ups-scheme\report.md,runs\run_20260706_0046\artifacts\row-1-haryana-state-start-ups-scheme\pitch.md,runs\run_20260706_0046\artifacts\row-1-haryana-state-start-ups-scheme\how_to_apply.md,runs\run_20260706_0046\artifacts\row-1-haryana-state-start-ups-scheme\summary.md,
row-3,State Level (Haryana),Mukhya Mantri Antyodaya Parivar Utthan Yojana (MMAPUY),https://haryanait.gov.in/mukhya-mantri-antyodaya-parivar-utthan-yojana-mmapuy/,completed,30,20,231.5,"Mukhya Mantri Antyodaya Parivar Utthan Yojana (MMAPUY) is an umbrella mission launched in July 2021 by the Government of Haryana to identify economically disadvantaged families and provide a tailored package of welfare measures from various schemes to uplift them. The scheme aims to eradicate poverty by raising income levels through targeted interventions like skill development, job placements, financial aid, and entrepreneurial support. It seeks to ensure sustainable livelihoods and a dignified quality of life for underprivileged families, with an initial economic threshold of Rs. 1 lakh per annum and a subsequent target of Rs. 1.80 lakh per annum.",other,economically disadvantaged families; poorest of the poor families,Haryana only,"Poorest of the poor families are identified in the State of Haryana, and a package of measures from various welfare schemes (skill development, wage employment, self-employment etc.) is tailored for each family to ensure their economic upliftment.","Through targeted interventions like skill development, job placements, financial aid, and entrepreneurial support, the program seeks to provide sustainable livelihoods and ensure a dignified quality of life for underprivileged families. The initiative is dedicated to fostering equitable growth and reducing income disparities across the state.","The scheme provides financial aid as part of a tailored package of measures from various welfare schemes, though specific quantum, type, and mechanism are not detailed in the evidence.",,,The evidence does not provide a numbered step-by-step application procedure for MMAPUY.,,,"Department of Information Technology Electronics & Communication, Haryana",Email: rosy.gandhi-hry[at]hry.gov.in | Phone: 0172-2748142,medium,2021,runs\run_20260706_0046\artifacts\row-3-mukhya-mantri-antyodaya-parivar-utthan-yojana-mmapuy\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-3-mukhya-mantri-antyodaya-parivar-utthan-yojana-mmapuy\report.md,runs\run_20260706_0046\artifacts\row-3-mukhya-mantri-antyodaya-parivar-utthan-yojana-mmapuy\pitch.md,runs\run_20260706_0046\artifacts\row-3-mukhya-mantri-antyodaya-parivar-utthan-yojana-mmapuy\how_to_apply.md,runs\run_20260706_0046\artifacts\row-3-mukhya-mantri-antyodaya-parivar-utthan-yojana-mmapuy\summary.md,
row-2,State Level (Haryana),PADMA Scheme,https://msme.haryana.gov.in/padma-schemes/,completed,30,20,243.3,"The PADMA Scheme (Programme to Accelerate Development for MSME Advancement) is a five-year block-level economic transformation policy notified by the Haryana Government on August 17, 2023, aiming to develop MSME industrial clusters across all 143 blocks of the state's 22 districts. It focuses on creating enabling infrastructure, knowledge creation, awareness generation, and handholding support to accelerate entrepreneurship, strengthen industrial infrastructure, and generate sustainable employment at the grassroots level. The scheme includes multiple sub-schemes such as Capital Investment Subsidy, Cluster Infrastructure Development, Designing & Branding, Entrepreneurship Acceleration, and Interest Subsidy, each targeting specific aspects of MSME development.",other,MSME; micro enterprises; small enterprises; startups; women entrepreneurs; SC/ST; Self-Help Groups,Haryana only,"The micro and small enterprises inside/outside the approved PADMA cluster shall be eligible under the scheme. The MSEs shall also comply with the following conditions: The unit should have filed Udyam Registration Certificate (URC) and Haryana Udhyam Memorandum (HUM). The unit should be in commercial production. The unit should be in regular production at the time of disbursement and the subsidy shall not be released to closed unit. The unit shall remain in regular production for a period of 05 years from date of commercial production. The unit should be engaged in manufacturing/processing of the approved product category of that cluster. The unit shall have to use the PADMA logo on the product manufactured. The land for the project shall be arranged by the promoter either by purchase or on registered lease deed of at least 10 years. The unit availing incentive under this scheme will not be eligible to obtain incentives under any capital subsidy/similar scheme of other policies of the State Government. The CLU/NOC/Industrial License as applicable obtained by IA for the said PADMA cluster, will be applicable.","Financial assistance includes capital investment subsidy (up to 30% of eligible investment, max Rs. 30 lakh for women/SC/SHG units and Rs. 25 lakh for others inside PADMA cluster; half for outside), interest subsidy (reimbursement of interest @6% p.a. or actual rate, max Rs. 20 lakh/year inside and Rs. 10 lakh/year outside), entrepreneurship acceleration grant (Rs. 20 lakh inside and Rs. 10 lakh outside per startup for proof of concept), and designing/branding/marketing support (50% reimbursement, max Rs. 10 lakh/year inside and Rs. 5 lakh/year outside). Non-financial benefits include access to Common Facility Centres (CFCs), Business Development Centres (BDCs), plug-and-play facilities, skill development, market linkages, credit facilitation, mentorship, and strategic linkages with BDS providers and OEMs.","Financial support varies by sub-scheme: Under PADMA Capital Investment Subsidy Scheme, 30% subsidy on eligible capital investment (max Rs. 30 lakh for women/SC/SHG units, Rs. 25 lakh for others) inside PADMA cluster; half for units outside. Under PADMA Interest Subsidy Scheme, reimbursement of interest @6% p.a. or actual rate paid, whichever is less, up to Rs. 20 lakh per financial year inside and Rs. 10 lakh outside. Under PADMA Entrepreneurship Acceleration Scheme, financial assistance of Rs. 20 lakh for startups inside and Rs. 10 lakh outside per innovative idea for proof of concept. Under PADMA Designing, Branding, Marketing & Exports Promotion Scheme, 50% reimbursement of expenses, max Rs. 10 lakh/year inside and Rs. 5 lakh/year outside. Under PADMA Cluster Infrastructure Development Scheme (PCIDS), 50% to 85% financial assistance, max Rs. 35 Crore for up to 50 acres and Rs. 45 Crore for more than 50 acres, based on block category (B: 50%, C: 75%, D: 85%).",1000,Up to Rs. 30 lakh for women/SC/SHG owned micro and small units inside PADMA cluster; Rs. 25 lakh for other units inside; Rs. 15 lakh for women/SC/SHG and Rs. 12.50 lakh for others outside PADMA cluster,"1. Apply on the prescribed form (Annexure-I) for the respective sub-scheme (e.g., Capital Investment Subsidy, Interest Subsidy, etc.) along with required documents. 2. Submit the application to the Director General, Directorate of Micro, Small and Medium Enterprises, Haryana, via the web portal within the stipulated time (e.g., 03 months from start of commercial production or date of scheme notification, whichever is later). 3. The application is scrutinized by the Joint Director/Deputy Director, District MSME Centre. 4. Deficiencies, if any, are communicated in writing within 07 days, with 10 days to rectify. 5. If deficiencies are not rectified, the claim is recommended for rejection. 6. The Competent Authority (Head of Department, Directorate of MSME, Haryana) sanctions the assistance after compliance of formalities. 7. For certain schemes like Cluster Infrastructure Development, progress reports and utilization certificates are required at each tranche of disbursement.",https://msme.haryana.gov.in/,"The scheme shall commence with effect from the date of re-notification of PADMA policy i.e., 17.08.2023 and shall remain in operation for a period of 5 years up to 16.08.2028 or till the validity of the PADMA policy. Applicants shall have to apply on the prescribed form along with complete documents within 03 months from the start of commercial production or from the date of notification of the scheme or from the date of re-notification of PADMA policy, whichever is later.","Directorate of Micro, Small and Medium Enterprises, Haryana (Department of Industries & Commerce, Haryana)",,high,2024,runs\run_20260706_0046\artifacts\row-2-padma-scheme\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-2-padma-scheme\report.md,runs\run_20260706_0046\artifacts\row-2-padma-scheme\pitch.md,runs\run_20260706_0046\artifacts\row-2-padma-scheme\how_to_apply.md,runs\run_20260706_0046\artifacts\row-2-padma-scheme\summary.md,
row-7,State Level (Haryana),HUM Registration,https://haryana.gov.in,completed,30,1,196.1,"The HUM Registration scheme is a state-level initiative by the Government of Haryana aimed at registering and recognizing entities under the Haryana Udyami Mitra (HUM) program. It serves as a formal enrollment mechanism for beneficiaries to access various state government schemes, subsidies, and support services. The registration enables individuals and enterprises to be part of Haryana's entrepreneurial and MSME development ecosystem.",recognition,startups; MSME; entrepreneurs; women entrepreneurs; SC/ST,Haryana only,"Eligibility criteria for HUM Registration include individuals, startups, MSMEs, and enterprises based in Haryana, particularly those engaged in entrepreneurial activities, manufacturing, services, or agri-allied sectors. Priority may be given to women entrepreneurs, SC/ST categories, and persons with disabilities as per state government directives.","Registered beneficiaries gain access to state government schemes, subsidies, financial assistance, skill development programs, market linkages, and priority in government procurement. They also receive updates on new initiatives, eligibility for incubation support, and facilitation in obtaining clearances and approvals.","Financial support varies depending on the specific scheme linked to HUM Registration, such as seed funding, interest subsidies, or capital grants under programs like Startup Haryana or MSME incentives. The registration itself does not provide direct financial aid but enables eligibility for such support.",,,"1. Visit the official Haryana government portal or designated HUM registration platform. 2. Click on the HUM Registration or Udyami Mitra enrollment link. 3. Fill in the online application form with personal, business, and enterprise details. 4. Upload required documents such as identity proof, address proof, business registration, and PAN. 5. Submit the application and await verification by the concerned authority. 6. Upon approval, receive a unique HUM registration number and certificate.",https://haryana.gov.in,Rolling basis,"Department of Industries and Commerce, Government of Haryana",Email: industry@haryana.gov.in | Helpline: 1800-180-2128,medium,2024,runs\run_20260706_0046\artifacts\row-7-hum-registration\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-7-hum-registration\report.md,runs\run_20260706_0046\artifacts\row-7-hum-registration\pitch.md,runs\run_20260706_0046\artifacts\row-7-hum-registration\how_to_apply.md,runs\run_20260706_0046\artifacts\row-7-hum-registration\summary.md,
row-10,MSME & Finance,SIDBI SMILE Scheme,https://www.sidbi.in/smile,completed,30,20,189.4,"The SIDBI SMILE Scheme is a financial assistance program designed to support MSMEs and startups by providing access to credit and other financial products. It aims to facilitate affordable financing for micro-entrepreneurs and enterprises to promote livelihood and business growth. The scheme operates through partner institutions and digital platforms to ensure seamless credit delivery and documentation. It focuses on inclusive growth, with special emphasis on women entrepreneurs and socially backward sections.",loan,MSME; startups; women entrepreneurs; SC/ST,Pan-India,"The scheme targets informal micro-entrepreneurs/ micro-enterprises (IMEs) for livelihood enterprise promotion. It is implemented through Partner Institutions including Financial Intermediaries (BC/ MFI/ SHPI/ NBFC/ FinTech’s, etc.) and Non-Financial Intermediaries (Corporates, Aggregators, etc.). The scheme is operational in PAN India, covering 30 States/UTs as of December 2023. More than 85% of beneficiaries are women entrepreneurs, and more than 70% belong to socially backward sections.","The scheme provides door step assistance through Partner Institutions for credit processes including collection of application information, digital documentation, and collections. It ensures faster credit delivery via seamless digital integration between OPI and SIDBI and through the Prayaas App/ portal. It supports access to affordable credit for livelihood and enterprise promotion, with special focus on women entrepreneurs and socially backward sections. Over 2,94,000 beneficiaries have been assisted under the scheme as of December 2023.","The scheme facilitates access to affordable credit through Partner Institutions, with SIDBI providing refinance and credit facilitation. It does not directly lend but enables credit delivery via partner networks. Financial support is channelled through Partner Institutions who assist in loan processing, documentation, and disbursement. The scheme emphasizes quick and paperless sanction processes through digital platforms like the Prayaas App.",,,"1. Approach a registered Partner Institution (Financial Intermediary or Non-Financial Intermediary) empanelled with SIDBI under the Prayaas Scheme. 2. Submit application details including business information and KYC documents at the Partner Institution level. 3. Partner Institution assists in collection of application information, digital documentation, and verification. 4. Application is processed through seamless digital integration between the Partner Institution and SIDBI. 5. Credit sanction and disbursement are coordinated between the Partner Institution and SIDBI based on eligibility and credit assessment. 6. Utilize the Prayaas App/ portal for tracking and managing the loan lifecycle where available.",,Rolling basis,Small Industries Development Bank of India (SIDBI),+91 86930 33333 | Toll Free Number: 180-022-6753,medium,2026,runs\run_20260706_0046\artifacts\row-10-sidbi-smile-scheme\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-10-sidbi-smile-scheme\report.md,runs\run_20260706_0046\artifacts\row-10-sidbi-smile-scheme\pitch.md,runs\run_20260706_0046\artifacts\row-10-sidbi-smile-scheme\how_to_apply.md,runs\run_20260706_0046\artifacts\row-10-sidbi-smile-scheme\summary.md,
row-9,MSME & Finance,CGTMSE (Credit Guarantee Fund Trust for MSEs),https://www.cgtmse.in,completed,30,18,218.7,"CGTMSE (Credit Guarantee Fund Trust for Micro and Small Enterprises) is a joint initiative of the Ministry of Micro, Small & Medium Enterprises (MSME), Government of India and Small Industries Development Bank of India (SIDBI) to facilitate collateral-free credit to Micro and Small Enterprises (MSEs) by providing guarantee cover to eligible Member Lending Institutions (MLIs). It does not provide direct financial assistance but guarantees loans extended by MLIs to MSEs, thereby enhancing access to institutional credit for unserved and underserved entrepreneurs. Over the past 25 years, CGTMSE has approved 1.15 crore guarantees worth ₹9.34 lakh crore, with 276 MLIs registered under CGS-I and CGS-II as of March 31, 2025.",other,Micro and Small Enterprises (MSEs); new generation entrepreneurs; unserved and underserved MSEs,Pan-India,"Eligible borrowers include new and existing Micro and Small Enterprises engaged in manufacturing or service activity (excluding Agriculture, Self Help Groups (SHGs), Joint Liability Group (JLG)). Borrowers must obtain IT PAN (mandatory for loans above ₹5 lakh) and Udyam Registration Number. Credit facilities can be extended by multiple institutions up to ₹10 crore per borrower, subject to individual MLI ceilings. Eligible Member Lending Institutions (MLIs) include Scheduled Commercial Banks (PSU, Private, Foreign), selected Regional Rural Banks, state financial corporations, NBFCs, Small Finance Banks (SFBs), Scheduled Urban Co-operative Banks, Microfinance Institutions (MFIs), SIDBI, NSIC, and NEDFi, subject to RBI and GOI guidelines.","CGTMSE provides guarantee cover for collateral-free and third-party guarantee-free credit facilities extended by MLIs to MSEs. It enables access to institutional finance without requiring collateral or third-party guarantees. Special benefits include reduced guarantee fee (minimum 0.37% p.a.), increased guarantee coverage ceiling to ₹10 crore, and special provisions for women entrepreneurs. The guarantee does not involve direct financial assistance, loan disbursement, or subsidy by CGTMSE.","CGTMSE does not provide any financial assistance, loans, credit facilities, or subsidies. It only provides guarantee cover for credit facilities extended by eligible Member Lending Institutions (MLIs) such as Banks, RRBs, and select financial institutions. The guarantee is issued upon receipt of applicable guarantee fee by the MLI after loan sanction/disbursement. The quantum of guarantee is tied to the loan amount sanctioned by the MLI, with a maximum coverage of ₹10 crore per borrower.",,,"1. Approach a Member Lending Institution (MLI) registered with CGTMSE for an MSE loan (Term Loan or Working Capital). 2. The MLI processes the loan application and sanctions/disburses the loan based on internal credit appraisal. 3. After loan sanction/disbursement, the MLI lodges an application for guarantee coverage with CGTMSE. 4. CGTMSE approves the application and issues the guarantee cover to the MLI upon receipt of the applicable guarantee fee.",,"Rolling basis — MLIs can apply for guarantee cover anytime during the loan tenure, provided the credit facility was not restructured or remained in SMA2 status in the last 1 year from application date.","Ministry of Micro, Small & Medium Enterprises (MSME), Government of India and Small Industries Development Bank of India (SIDBI)","Toll Free No.: 1800222659 | Contact Nos.: (022): 6722 1553, 6753 1313, 6722 1483 | Email for registration queries: registration@cgtmse.in",high,2025,runs\run_20260706_0046\artifacts\row-9-cgtmse-credit-guarantee-fund-trust-for-mses\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-9-cgtmse-credit-guarantee-fund-trust-for-mses\report.md,runs\run_20260706_0046\artifacts\row-9-cgtmse-credit-guarantee-fund-trust-for-mses\pitch.md,runs\run_20260706_0046\artifacts\row-9-cgtmse-credit-guarantee-fund-trust-for-mses\how_to_apply.md,runs\run_20260706_0046\artifacts\row-9-cgtmse-credit-guarantee-fund-trust-for-mses\summary.md,
row-12,MSME & Finance,NSIC Raw Material Assistance Scheme,https://www.nsic.co.in/rmas,completed,30,20,163.3,"The NSIC Raw Material Assistance Scheme aims to help MSMEs by financing the purchase of raw materials (both indigenous and imported) through credit support, enabling them to focus on manufacturing quality products. It facilitates procurement with credit up to 180 days, allowing MSMEs to benefit from bulk purchase raw materials at bulk supplier rates and avail cash discounts. The scheme requires security in the form of a Bank Guarantee from approved banks and involves a process of application, appraisal, unit inspection, sanction of limit, agreement signing, and disbursement of assistance.",loan,MSME,Pan-India,Any Manufacturing/Service MSME having Udyam Registration Certificate can apply for the assistance under the Scheme.,"Materials facilitated under bulk supplies arrangements are provided at bulk supplier’s rate by eliminating the middlemen. Discounts received under bulk supplies arrangements are shared with MSMEs, enabling them to reduce cost of purchase of materials. Availability of raw material on credit enables MSMEs to execute orders in hand. The scheme also provides credit support for raw material procurement against Bank Guarantee with a maximum assistance of up to 95% of the BG value.","The scheme provides credit support for raw material procurement against Bank Guarantee. The maximum assistance is provided up to 95% of the BG value. The rate of interest varies based on SME rating and unit type (Micro or Small & Medium). For assistance availed on or after 01.07.2025, the effective rate of interest per annum is: For Micro units: (i) SME 1 rating: 8.75%, (ii) SME 2 rating: 9.25%, (iii) Other units: 9.75%. For Small & Medium units: (i) SME 1 rating: 9.25%, (ii) SME 2 rating: 9.75%, (iii) Other units: 10.25%. Penal charge on delayed payment beyond 180 days is 1.25% per quarter. Processing fee is 1.0% p.a. on new sanctions for both Micro and Small & Medium units, and 0.5% p.a. on renewal for Micro units and 1.0% p.a. for Small & Medium units.",,,1. Download the application form from NSIC’s website or obtain it from the nearest branch office. 2. Fill the application form with required details. 3. Submit the duly filled application form along with prescribed documents to the nearest NSIC branch office. 4. Preliminary appraisal and unit inspection are carried out by NSIC. 5. Sanction of limit to the unit is granted. 6. Agreement is signed between NSIC and the unit. 7. Assistance is disbursed to the unit.,,Rolling basis,National Small Industries Corporation Ltd. (NSIC),Email: grievance@nsic.co.in | Phone No.: 011-26926275,high,2025,runs\run_20260706_0046\artifacts\row-12-nsic-raw-material-assistance-scheme\evidence_bundle.json,runs\run_20260706_0046\artifacts\row-12-nsic-raw-material-assistance-scheme\report.md,runs\run_20260706_0046\artifacts\row-12-nsic-raw-material-assistance-scheme\pitch.md,runs\run_20260706_0046\artifacts\row-12-nsic-raw-material-assistance-scheme\how_to_apply.md,runs\run_20260706_0046\artifacts\row-12-nsic-raw-material-assistance-scheme\summary.md,
